                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2137,                  4.427,                 1.2445,                0.32131,                0.11506,                0.10408,                0.09061,                0.94394,                 4.5746,                 1.0863,              1.176e-05,              1.176e-05,              1.176e-05
                      2,                 1.1715,                 4.4451,                 1.1959,                 0.3885,                0.14103,                0.17517,                0.14972,                0.93952,                 4.1834,                  1.084,             2.8672e-05,             2.8672e-05,             2.8672e-05
                      3,                 1.1659,                 3.9475,                 1.2264,                0.13017,                0.53205,                0.28302,                0.24424,                0.87876,                 3.6783,                 1.0545,             4.4712e-05,             4.4712e-05,             4.4712e-05
                      4,                 1.0193,                 2.7648,                 1.1363,                0.80123,                0.37454,                0.52778,                0.40935,                0.87785,                 3.6769,                 1.0767,             5.9878e-05,             5.9878e-05,             5.9878e-05
                      5,                 0.9273,                 1.9129,                 1.0561,                0.83595,                0.70438,                0.89173,                0.69201,                0.84943,                 3.5461,                 1.0718,              7.417e-05,              7.417e-05,              7.417e-05
                      6,                 0.8416,                 1.4062,                 1.0287,                0.78965,                0.85121,                0.91445,                0.71483,                0.84762,                 3.4137,                 1.0629,              8.759e-05,              8.759e-05,              8.759e-05
                      7,                0.79019,                 1.1753,                0.99336,                0.77552,                0.93202,                0.94894,                0.75125,                0.83867,                 2.9209,                 1.0544,             0.00010014,             0.00010014,             0.00010014
                      8,                0.81647,                 1.1173,                 1.0234,                0.84323,                0.93779,                0.95025,                0.75915,                0.82841,                 2.6482,                 1.0438,             0.00011181,             0.00011181,             0.00011181
                      9,                0.77923,                 1.0687,                 1.0041,                0.89779,                0.94266,                0.95674,                0.77046,                0.80228,                 1.9088,                 1.0256,             0.00012261,             0.00012261,             0.00012261
                     10,                0.86094,                 1.0145,                 1.0465,                 0.8672,                0.96323,                0.95998,                0.78471,                0.77085,                 1.5608,                 1.0111,             0.00013254,             0.00013254,             0.00013254
                     11,                0.80409,                0.93108,                 1.0292,                0.88255,                0.94704,                0.96625,                0.80904,                0.73388,                 1.2048,                0.99435,             0.00014159,             0.00014159,             0.00014159
                     12,                0.77708,                 0.7858,                 0.9893,                0.89073,                0.95635,                 0.9759,                0.79697,                0.74195,                 1.0612,                0.99555,             0.00014977,             0.00014977,             0.00014977
                     13,                0.72832,                0.76953,                0.99784,                0.91865,                0.97505,                0.98224,                0.77724,                0.78694,                0.86777,                 1.0167,             0.00015708,             0.00015708,             0.00015708
                     14,                0.73257,                0.70719,                0.95771,                0.91107,                0.98164,                0.98481,                0.78981,                0.76684,                0.83246,                0.99935,             0.00016351,             0.00016351,             0.00016351
                     15,                0.67572,                0.68814,                0.93314,                0.90915,                0.97123,                0.98481,                0.80556,                0.75086,                 0.6996,                0.97983,             0.00016907,             0.00016907,             0.00016907
                     16,                0.65479,                0.62861,                 0.9202,                 0.8947,                0.99221,                0.98231,                0.80494,                0.74359,                0.63176,                0.98288,             0.00017376,             0.00017376,             0.00017376
                     17,                0.68492,                0.67311,                0.94726,                0.92832,                0.98392,                0.98231,                0.79747,                0.73944,                0.62486,                0.98483,             0.00017758,             0.00017758,             0.00017758
                     18,                0.66011,                0.63525,                 0.9303,                0.92436,                0.98042,                0.98231,                0.80483,                0.73844,                0.63554,                0.98537,             0.00018052,             0.00018052,             0.00018052
                     19,                0.71482,                0.67949,                0.97786,                0.93903,                 0.9876,                0.98231,                0.80981,                0.71931,                0.61089,                0.97777,             0.00018259,             0.00018259,             0.00018259
                     20,                0.68645,                0.61462,                0.92548,                 0.9291,                0.98155,                0.98231,                 0.8118,                0.71012,                0.60229,                0.96908,             0.00018378,             0.00018378,             0.00018378
